title,description,severity,detector_id,sample_code
Inconsistent symbols,Symbols with similar but slightly different names may be misused. Such error is hard to find out manually but may result in critical results.,Info,inconsistency,"ext::ft_transfer(
    receiver_id,
    U128(amount),
    None,
    token_id,
    1,
    GAS_FOR_NFT_TRANSFER  // should use GAS_FOR_FT_TRANSFER here
)"
Lack of check for storage expansion,"Each time the state grows, it should be ensured that there is enough Balance to cover the expansion.",Low,storage-gas,"let prev_storage = env::storage_usage();

self.banks.insert(&Bank {
    owner: bank.owner,
    balance: bank.balance.0,
});

assert!(
    env::attached_deposit() > ((env::storage_usage() - prev_storage) as u128 * env::storage_byte_cost()),
    ""insufficient storage gas""
);"
Lack of two-factor authentication,"Privileged functions should check whether one yocto NEAR is attached. This will enable the 2FA in the NEAR wallet for security concerns. This can be implemented in the contract by adding `assert_one_yocto`, which is recommended for all privileged functions.",Medium,yocto-attach,"pub(crate) fn assert_owner(&self) {
    assert_eq!(
        env::predecessor_account_id(),
        self.owner_id,
        ""{}"", ERR100_NOT_ALLOWED
    );
}

#[payable]
pub fn set_owner(&mut self, owner_id: ValidAccountId) {
    assert_one_yocto();
    self.assert_owner();
    self.owner_id = owner_id.as_ref().clone();
}"
Dependency of timestamp,"Timestamp dependency may lead to exploitation since it could be manipulated by miners. For example, in a lottery contract, the jackpot is generated using the timestamp, then the miner may have some way to manipulate the timestamp to get the jackpot.",Info,timestamp,"impl Lottery{
    fn get_winner(&self) -> u32 {
        let current_time = env::block_timestamp();
        let winner_id = self.generate_winner(&current_time);

        winner_id
    }
}"
Complex logic inside a loop,"Find loops containing complex logic, which may result in DoS problems. It's recommended to limit the iteration times to avoid the DoS problem.",Info,complex-loop,"impl User {
    pub fn complex_calc(&mut self) {
        // ...
    }
}

#[near_bindgen]
impl Contract {
    pub fn register_users(&mut self, user: User) {
        self.users.push(user);
    }

    pub fn update_all_users(&mut self) {
        for user in self.users.iter_mut() {
            user.complex_calc();
        }
    }
}"
Cross-contract invocations,Find all cross-contract invocations. We provide this detector to help users quickly locate all cross-contract invocations for further analysis.,Info,ext-call,"#[ext_contract(ext_calculator)]
trait Calculator {
    fn sum(&self, a: U128, b: U128) -> U128;
}

#[near_bindgen]
impl Contract {
    pub fn sum_a_b(&mut self, a: U128, b: U128) -> Promise {
        let calculator_account_id: AccountId = ""calc.near"".parse().unwrap();
        ext_calculator::ext(calculator_account_id).sum(a, b)  // run sum(a, b) on remote
    }
}"
Use of tautology in branch condition,Find simple tautology (`true` or `false` involved in the condition) which makes a branch deterministic.,Low,tautology,"let ok: bool = check_state();
if true || ok {
    // ...
} else {
    // ...
}"
Unsafe math without overflow check,"Enable overflow checks for all arithmetic operations. Otherwise, overflow can occur, resulting in incorrect results. Overflow checks in NEAR contracts can be implemented with two different methods: 1. [Recommended] Turn on the `overflow-checks` in the cargo manifest. In this case, it's okay to use `+`, `-` and `*` for arithmetic operations. 2. Use safe math functions (e.g., `checked_xxx()`) to do arithmetic operations.",High,unsafe-math,let a = b + c;
Reentrancy,Find functions that are vulnerable to reentrancy attack. Contracts should always change state before making a cross-contract invocation and roll back the changes in the callback function if the cross-contract invocation fails.,High,reentrancy,"#[near_bindgen]
impl VictimContract {
    pub fn withdraw(&mut self, amount: u128) -> Promise {
        assert!(self.attacker_balance >= amount);
        ext_ft_token::ft_transfer_call(
            amount.into(),
            &FT_TOKEN,
            0,
            env::prepaid_gas() - GAS_FOR_SINGLE_CALL * 2,
        ).then(ext_self::ft_resolve_transfer(
            amount.into(),
            &env::current_account_id(),
            0,
            GAS_FOR_SINGLE_CALL,
        ))
    }

    #[private]
    pub fn ft_resolve_transfer(&mut self, amount: u128) {
        match env::promise_result(0) {
            PromiseResult::NotReady => unreachable!(),
            PromiseResult::Successful(_) => {
                self.attacker_balance -= amount;
            }
            PromiseResult::Failed => {}
        };
    }
}"
Lack of `#[private]` macro in callback functions,"The callback function should be decorated with `#[private]` to ensure that it can only be invoked by the contract itself. Without this macro, anyone can invoke the callback function, which is against the original design.",High,non-private-callback,"pub fn callback_stake(&mut self) { // this is a callback function
    // ...
}"
Division before multiplication,"Find division before multiplication like `3 / 2 * 6 == 6`, which has a different result compared with `3 * 6 / 2 == 9`. This can result in precision loss. It is suggested to conduct multiplication before division.",Medium,div-before-mul,"let reward_per_session =
    farm.amount / (farm.end_date - farm.start_date) as u128 * SESSION_INTERVAL as u128;"
Find all public interfaces,"Public interfaces are functions that can be called by others. Specifically, they are public functions without `#[private]` macro of a `#[near_bindgen]` struct.",Info,public-interface,"#[near_bindgen]
impl Contract {
    pub fn withdraw(&mut self, amount: U128) -> Promise {
        unimplemented!()
    }

    pub fn check_balance(&self) -> U128 {
        unimplemented!()
    }

    #[private]
    pub fn callback_withdraw(&mut self, amount: U128) {
        unimplemented!()
    }

    fn sub_balance(&mut self, amount: u128) {
        unimplemented!()
    }
}"
Lack of upgrade function,"Contracts may need the upgrade function, Rustle will check if such an interface exists in the contract. Without an upgrade function, the contract cannot be upgraded and contract states cannot be migrated.",Low,upgrade-func,"mod upgrade {
    use near_sdk::{require, Gas};

    use super::*;
    use near_sys as sys;

    const GAS_TO_COMPLETE_UPGRADE_CALL: Gas = Gas(Gas::ONE_TERA.0 * 10);
    const GAS_FOR_GET_CONFIG_CALL: Gas = Gas(Gas::ONE_TERA.0 * 5);
    const MIN_GAS_FOR_MIGRATE_STATE_CALL: Gas = Gas(Gas::ONE_TERA.0 * 10);

    #[no_mangle]
    pub extern ""C"" fn upgrade() {
        // ... (implementation details)
    }
}"
NEP-141 transfer doesn't panic on unregistered receiver accounts,"According to the implementation of NEP-141, a transfer receiver that has not been registered should result in panic. Developers may try to register a new account for the receiver without asking for the storage fee, which may lead to DoS.",Medium,unregistered-receiver,"#[near_bindgen]
#[derive(BorshDeserialize, BorshSerialize)]
pub struct Contract {
    accounts: UnorderedMap<AccountId, Balance>,
    total_supply: Balance,
}

impl Contract {
    pub fn internal_unwrap_balance_safe(&self, account_id: &AccountId) -> Balance {
        self.accounts
            .get(account_id)
            .unwrap_or_else(|| env::panic_str(""Account is not registered""))
    }
    pub fn internal_unwrap_balance_unsafe(&self, account_id: &AccountId) -> Balance {
        self.accounts.get(account_id).unwrap_or(0)
    }
}"
Duplicate id uses in collections,Collections in NEAR SDK use function `new` to initialize itself. The argument `prefix` is an identifier for collection. Every collection should have an id different from the id of other collections.,Medium,dup-collection-id,"#[near_bindgen]
#[derive(BorshDeserialize, BorshSerialize)]
pub struct Contract {
    orders: UnorderedMap<u16, Order>,
    users: UnorderedSet<AccountId>,
}

#[near_bindgen]
impl Contract {
    #[init]
    pub fn new() -> Self {
        Self {
            orders: UnorderedMap::new(StorageKey::Orders),
            users: UnorderedSet::new(StorageKey::Orders), // Should use `StorageKey::Users` here
        }
    }
}"
Lack of check approval id during NFT transfer,"During an NFT transfer (i.e, `nft_transfer` and `nft_transfer_call`), if the sender of the transfer is not the owner of the NFT, the `approval_id` of the transfer should be checked to make sure the sender has the authority to launch this transfer. Without this check, anyone can transfer an NFT to other accounts without approval.",High,nft-approval-check,"let app_acc_ids =
    approved_account_ids.as_ref().unwrap_or_else(|| env::panic_str(""Unauthorized""));

let actual_approval_id = app_acc_ids.get(sender_id);

if actual_approval_id.is_none() {
    env::panic_str(""Sender not approved"");
}

require!(
    approval_id.is_none() || actual_approval_id == approval_id.as_ref(),
    format!(
        ""The actual approval_id {:?} is different from the given approval_id {:?}"",
        actual_approval_id, approval_id
    )
);"
Unused return values of non-void function,"The return value of functions should be used. Otherwise, some information may be lost or unchecked.",Low,unused-ret,"#[payable]
pub fn remove_guardians(&mut self, guardians: Vec<ValidAccountId>) {
    assert_one_yocto();
    self.assert_owner();
    for guardian in guardians {
        self.guardians.remove(guardian.as_ref());
    }
}"
Improper `#[private]` use in non-callback function,"Macro `#[private]` is usually used in callback function to ensure `current_account_id` equals `predecessor_account_id`. It shouldn't be used in non-callback functions. Otherwise, a public function will be an internal one.",Low,non-callback-private,"#[near_bindgen]
impl Pool {
    #[private]
    pub fn get_tokens(&self) -> &[AccountId] {
        &self.token_account_ids
    }
}"
